iter	Passed	Remaining
0	0	68
1	1	58
2	1	52
3	2	48
4	2	48
5	3	48
6	5	69
7	5	68
8	6	65
9	7	63
10	7	61
11	8	59
12	8	57
13	9	55
14	9	53
15	10	52
16	10	51
17	11	50
18	11	49
19	12	48
20	12	48
21	13	47
22	13	46
23	14	46
24	15	45
25	15	45
26	16	44
27	16	43
28	17	43
29	18	42
30	18	42
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	36
38	23	36
39	31	47
40	32	46
41	32	45
42	33	44
43	36	46
44	36	44
45	37	43
46	37	42
47	40	44
48	41	42
49	46	46
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	55	34
62	56	32
63	56	32
64	57	30
65	58	29
66	58	28
67	58	27
68	60	27
69	60	26
70	61	25
71	61	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	65	18
78	66	17
79	66	16
80	67	15
81	67	14
82	68	13
83	68	13
84	69	12
85	69	11
86	70	10
87	70	9
88	71	8
89	71	7
90	72	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	75	1
98	76	0
99	76	0
